frame_id,timestamp,dt_ms,my_x,my_y,my_z,raw_kmh,pos_delta_kmh,v296_kmh,v296_delta_kmh,v296_source,latest_kmh,latest_delta_kmh,latest_source,diff_kmh
148,1788706265.7017,16.66,1843.401,217.161,2031.233,0.0,12.6,11.3,0.24,pos_only_smoothed,11.1,0.12,pos_only_smoothed,0.19
149,1788706265.7184,16.66,1843.417,217.161,2031.273,0.0,12.0,11.4,0.11,pos_only_smoothed,11.3,0.16,pos_only_smoothed,0.14
150,1788706265.7351,16.66,1843.451,217.161,2031.353,0.0,13.2,11.7,0.28,pos_only_smoothed,11.5,0.18,pos_only_smoothed,0.24
151,1788706265.7517,16.66,1843.468,217.162,2031.394,0.0,12.5,11.8,0.14,pos_only_smoothed,11.7,0.20,pos_only_smoothed,0.17
152,1788706265.7684,16.69,1843.503,217.162,2031.477,0.0,13.8,12.1,0.31,pos_only_smoothed,11.9,0.22,pos_only_smoothed,0.27
153,1788706265.7851,16.66,1843.520,217.162,2031.519,0.0,13.1,12.3,0.15,pos_only_smoothed,12.1,0.23,pos_only_smoothed,0.19
154,1788706265.8017,16.66,1843.538,217.162,2031.561,0.0,12.5,12.3,0.03,pos_only_smoothed,12.3,0.16,pos_only_smoothed,0.06
155,1788706265.8184,16.66,1843.574,217.163,2031.647,0.0,13.9,12.6,0.25,pos_only_smoothed,12.4,0.11,pos_only_smoothed,0.19
156,1788706265.8351,16.66,1843.592,217.163,2031.690,0.0,13.2,12.7,0.10,pos_only_smoothed,12.5,0.16,pos_only_smoothed,0.13
157,1788706265.8517,16.66,1843.629,217.163,2031.779,0.0,14.6,13.0,0.30,pos_only_smoothed,12.7,0.19,pos_only_smoothed,0.25
158,1788706265.8684,16.66,1843.647,217.163,2031.823,0.0,13.8,13.1,0.13,pos_only_smoothed,12.9,0.21,pos_only_smoothed,0.17
159,1788706265.8851,16.66,1843.666,217.164,2031.867,0.0,13.2,13.1,0.01,pos_only_smoothed,13.1,0.14,pos_only_smoothed,0.04
160,1788706265.9017,16.66,1843.704,217.164,2031.958,0.0,14.6,13.4,0.25,pos_only_smoothed,13.2,0.10,pos_only_smoothed,0.19
161,1788706265.9184,16.66,1843.724,217.164,2032.004,0.0,14.0,13.5,0.10,pos_only_smoothed,13.3,0.15,pos_only_smoothed,0.13
162,1788706265.9350,16.67,1843.763,217.165,2032.098,0.0,15.4,13.8,0.31,pos_only_smoothed,13.5,0.19,pos_only_smoothed,0.26
163,1788706265.9517,16.66,1843.782,217.165,2032.144,0.0,14.6,13.9,0.13,pos_only_smoothed,13.7,0.21,pos_only_smoothed,0.18
164,1788706265.9684,16.67,1843.822,217.165,2032.240,0.0,16.0,14.2,0.33,pos_only_smoothed,13.9,0.23,pos_only_smoothed,0.28
165,1788706265.9850,16.66,1843.842,217.166,2032.288,0.0,15.1,14.4,0.15,pos_only_smoothed,14.2,0.24,pos_only_smoothed,0.19
166,1788706266.0017,16.66,1843.862,217.166,2032.336,0.0,14.4,14.4,0.01,pos_only_smoothed,14.3,0.16,pos_only_smoothed,0.04
167,1788706266.0184,16.67,1843.904,217.167,2032.435,0.0,16.0,14.6,0.26,pos_only_smoothed,14.4,0.11,pos_only_smoothed,0.20
168,1788706266.0350,16.66,1843.924,217.167,2032.484,0.0,15.2,14.7,0.09,pos_only_smoothed,14.6,0.15,pos_only_smoothed,0.13
169,1788706266.0517,16.67,1843.966,217.168,2032.584,0.0,16.7,15.0,0.31,pos_only_smoothed,14.8,0.19,pos_only_smoothed,0.25
170,1788706266.0684,16.66,1843.988,217.168,2032.635,0.0,15.8,15.2,0.12,pos_only_smoothed,15.0,0.21,pos_only_smoothed,0.17
171,1788706266.0850,16.66,1844.009,217.168,2032.686,0.0,15.1,15.2,0.01,pos_only_smoothed,15.1,0.14,pos_only_smoothed,0.03
172,1788706266.1017,16.66,1844.052,217.169,2032.789,0.0,16.7,15.4,0.25,pos_only_smoothed,15.2,0.09,pos_only_smoothed,0.19
173,1788706266.1184,16.66,1844.074,217.169,2032.841,0.0,15.9,15.5,0.08,pos_only_smoothed,15.4,0.14,pos_only_smoothed,0.12
174,1788706266.1350,16.66,1844.118,217.170,2032.947,0.0,17.5,15.8,0.33,pos_only_smoothed,15.6,0.18,pos_only_smoothed,0.26
175,1788706266.1517,16.66,1844.140,217.170,2033.000,0.0,16.6,15.9,0.13,pos_only_smoothed,15.8,0.21,pos_only_smoothed,0.18
176,1788706266.1684,16.67,1844.185,217.171,2033.107,0.0,18.1,16.3,0.35,pos_only_smoothed,16.0,0.23,pos_only_smoothed,0.29
177,1788706266.1850,16.66,1844.208,217.171,2033.162,0.0,17.2,16.4,0.14,pos_only_smoothed,16.2,0.24,pos_only_smoothed,0.19
178,1788706266.2017,16.66,1844.231,217.172,2033.217,0.0,16.4,16.4,0.00,pos_only_smoothed,16.4,0.16,pos_only_smoothed,0.03
179,1788706266.2184,16.67,1844.277,217.172,2033.326,0.0,18.0,16.7,0.26,pos_only_smoothed,16.5,0.10,pos_only_smoothed,0.19
180,1788706266.2350,16.66,1844.300,217.172,2033.380,0.0,17.1,16.7,0.06,pos_only_smoothed,16.6,0.14,pos_only_smoothed,0.11
181,1788706266.2517,16.67,1844.345,217.173,2033.490,0.0,18.6,17.0,0.30,pos_only_smoothed,16.8,0.17,pos_only_smoothed,0.24
182,1788706266.2683,16.66,1844.368,217.173,2033.544,0.0,17.6,17.1,0.08,pos_only_smoothed,17.0,0.19,pos_only_smoothed,0.14
183,1788706266.2850,16.66,1844.391,217.173,2033.598,0.0,16.7,17.1,0.07,pos_only_smoothed,17.1,0.10,pos_only_smoothed,0.03
184,1788706266.3017,16.66,1844.436,217.173,2033.707,0.0,18.3,17.2,0.19,pos_only_smoothed,17.1,0.03,pos_only_smoothed,0.12
185,1788706266.3183,16.66,1844.459,217.173,2033.761,0.0,17.3,17.3,0.00,pos_only_smoothed,17.2,0.08,pos_only_smoothed,0.05
